company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd,id
"/company/acon",aCon,hardware,DNK,,Soenderborg,Soenderborg,/financial-organization/inventure-capital,Inventure Capital,,DNK,,Aarhus,Aarhus,venture,3/2/09,2009-03,2009-Q1,2009.0,1050000.0,37280
"/company/adeven",adeven,mobile,GBR,,London,London,/financial-organization/iris-capital,Iris Capital,,FRA,,Paris,Paris,series-b,6/20/13,2013-06,2013-Q2,2013.0,4300000.0,37751
"/company/agmi-systems",ag��mi Systems,hardware,USA,CA,SF Bay,Sunnyvale,/financial-organization/itochu-finance,Itochu Finance,,JPN,,Tokyo,Tokyo,series-c+,11/21/07,2007-11,2007-Q4,2007.0,5.0E7,37891
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/kbc,KBC,,BEL,,Brussels,Brussels,series-a,9/10/09,2009-09,2009-Q3,2009.0,1.36E7,38918
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/kbc,KBC,,BEL,,Brussels,Brussels,series-a,2/11/10,2010-02,2010-Q1,2010.0,4500000.0,38923
"/company/snowball-factory",awe.sm,analytics,USA,CA,SF Bay,San Francisco,/financial-organization/kbs-p-ventures,kbs+ Ventures,,USA,NY,New York,New York,venture,12/1/11,2011-12,2011-Q4,2011.0,4250000.0,38933
"/company/agmi-systems",ag��mi Systems,hardware,USA,CA,SF Bay,Sunnyvale,/financial-organization/kleiner-perkins-caufield-byers,Kleiner Perkins Caufield & Byers,,USA,CA,SF Bay,Menlo Park,series-c+,11/21/07,2007-11,2007-Q4,2007.0,5.0E7,39857
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/life-sciences-partners,Life Sciences Partners,,NLD,,Amsterdam,Amsterdam,series-a,2/11/10,2010-02,2010-Q1,2010.0,4500000.0,41333
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/lsp-bioventures,LSP BioVentures,,USA,MA,Boston,Cambridge,series-b,12/1/11,2011-12,2011-Q4,2011.0,4.3849E7,42156
"/company/activ8-intelligence",activ8 Intelligence,software,GBR,,Farnsfield,Farnsfield,/financial-organization/midven,Midven,,GBR,,Birmingham,Birmingham,angel,3/29/13,2013-03,2013-Q1,2013.0,530008.0,44488
"/company/anydoor",anydooR,web,JPN,,Tokyo,Tokyo,/financial-organization/motion-beat,Motion Beat,,,,unknown,,angel,12/12/11,2011-12,2011-Q4,2011.0,400000.0,45606
"/company/snowball-factory",awe.sm,analytics,USA,CA,SF Bay,San Francisco,/financial-organization/neu-venture-capital,Neu Venture Capital,,USA,NY,New York,New York City,venture,12/1/11,2011-12,2011-Q4,2011.0,4250000.0,46326
"/company/snowball-factory",awe.sm,analytics,USA,CA,SF Bay,San Francisco,/financial-organization/neu-venture-capital,Neu Venture Capital,,USA,NY,New York,New York City,angel,12/1/10,2010-12,2010-Q4,2010.0,1000000.0,46327
"/company/agmi-systems",ag��mi Systems,hardware,USA,CA,SF Bay,Sunnyvale,/financial-organization/new-enterprise-associates,New Enterprise Associates,,USA,CA,SF Bay,Menlo Park,series-c+,11/21/07,2007-11,2007-Q4,2007.0,5.0E7,46610
"/company/adquota",adQuota,advertising,DNK,,DNK,Copenhagen,/financial-organization/northcap,Northcap,,DNK,,Copenhagen,Copenhagen K,venture,1/17/14,2014-01,2014-Q1,2014.0,3216500.0,48111
